finep,coarsep,ω,θ,v,ρ
2,1,0.25,0,1,0.600746818159386
2,1,0.25,0,1,0.600746818159386
2,1,0.25,1,1,0.600746818159386
3,1,0.15,0,1,0.72250000000016
3,1,0.15,-0.0625,1,0.72250000000016
3,1,0.15,0,1,0.72250000000016
3,2,0.15,0,1,0.722500000000189
3,2,0.15,-0.0625,1,0.722500000000189
3,2,0.15,0,1,0.722500000000189
4,1,0.05,0,1,0.902500000000244
4,1,0.05,-0.0625,1,0.902500000000244
4,1,0.05,0,1,0.902500000000244
4,2,0.05,0,1,0.90250000000023
4,2,0.05,0,1,0.90250000000023
4,2,0.05,-0.0625,1,0.90250000000023
4,3,0.05,0,1,0.902500000000123
4,3,0.05,-0.0625,1,0.902500000000123
4,3,0.05,-0.0625,1,0.902500000000123
8,1,0.01,0,1,0.980100000000722
8,1,0.01,0,1,0.980100000000722
8,1,0.01,-0.0625,1,0.980100000000722
8,2,0.01,-0.0625,1,0.98010000000074
8,2,0.01,0,1,0.98010000000074
8,2,0.01,0,1,0.98010000000074
8,4,0.01,0,1,0.980100000000779
8,4,0.01,-0.0625,1,0.980100000000779
8,4,0.01,0,1,0.980100000000779
